-904,-1296,-28183,30322,32467,-7512
-1825,-1328,-32598,31006,32467,3780
974,-1280,-32431,23294,32467,2724
-389,-1264,-32598,25634,32467,492
4714,-1312,-21071,31817,32467,944
11584,-1312,-29197,31817,31524,-12948
7849,-1312,-10830,31817,12980,-24740
-13712,-1360,2072,31817,-18844,-2120
-1962,-1328,-32598,31817,-28372,2816
24,-1328,-32157,22074,32468,-4220
-5666,-1344,3573,3174,-27332,704
-2207,-1328,22905,11874,-4848,2320
4418,-1312,18404,16166,3960,2520
10333,-1312,-32599,11694,25184,-4932
18560,-1312,-32599,1554,26104,188
19014,-1344,25018,-14418,27344,7704
8803,-1296,2226,1646,31188,6756
2080,-1296,668,8278,21392,776
5122,-1328,-6599,5522,2704,272
16153,-1328,7795,15558,-4252,-4884
26191,-1312,28388,28166,17488,2664
11182,-1344,31684,30022,27840,7304
7401,-1312,4249,29230,26312,7008
14623,-1312,-6962,27550,18148,-1256
15591,-1360,12602,17782,16236,3540
6291,-1328,20900,12334,15032,8816
-7468,-1328,15789,12694,4352,9100
-16085,-1328,5352,13606,8404,6560
-17054,-1296,-7386,16778,10040,3616
-9297,-1312,-13391,18762,9212,1808
892,-1344,-13586,16330,7872,1912
5086,-1312,-8960,15578,5752,4132
1
-2864,-1344,8136,31817,32468,9676
-15843,-1280,-19920,6326,32468,13832
-5019,-1312,-32599,1162,-6944,4904
2289,-1312,-32599,-846,27412,2808
-4472,-1328,24176,-25238,25756,11036
-263,-1328,-15291,1358,8884,14252
3314,-1296,-7233,82,-1348,6024
6017,-1328,7128,294,10496,2292
4460,-1328,3044,-1734,7680,4080
5864,-1360,5436,-3630,3516,3020
9156,-1312,16003,2382,20300,3484
-4869,-1312,7707,-4726,28820,10880
4701,-1312,111,-8514,17136,7524
2461,-1344,16278,-1778,7608,9872
-933,-1312,17157,5450,14184,13648
-4901,-1312,4581,7110,8648,10200
-4506,-1312,-154,8342,2884,5452
-677,-1328,45,12206,9728,5476
565,-1360,-4029,22810,13204,3332
6323,-1264,4878,13918,-2820,3788
8551,-1328,26477,19050,7720,10544
1761,-1296,13717,31006,19564,8256
-6509,-1312,6802,23662,8608,8660
-10882,-1312,10757,23482,5784,5640
-6974,-1312,12969,23846,7372,3288
-4533,-1312,15826,19194,9244,5820
-1996,-1344,9483,17278,8408,4796
87,-1296,1719,16442,6104,4464
801,-1328,-5016,15562,5044,5088
-192,-1328,-9657,14806,4076,5728
-490,-1360,-9121,14970,40,5396
-1883,-1312,-4698,15654,800,5480
1
-14135,-1312,3097,27906,32467,-2936
-32214,-1312,-10649,11150,32467,-5356
-32558,-1312,-32598,19842,32467,-15268
-31070,-1280,-20130,31817,28700,-22660
-9521,-1296,-32598,23894,32468,3456
-3455,-1296,19182,-9890,-23352,-1472
7766,-1344,26618,-5190,32008,-10308
-32558,-1312,-32599,-7386,27980,9188
15677,-1312,-23967,-17178,21312,23764
-11253,-1312,13027,-5342,15336,20520
-11981,-1312,8445,-2222,7136,10320
-3065,-1312,5877,1630,3040,4724
4754,-1344,-6613,3478,5124,2136
6547,-1328,-12309,1966,2872,3680
1482,-1328,-10047,550,-1284,2824
-7824,-1328,836,3338,-8592,2640
-14876,-1328,18292,10178,2860,4632
-20933,-1328,31925,15434,5668,2004
-1364,-1328,-32599,13430,956,-11972
28692,-1328,26951,18442,24028,4112
12600,-1312,6868,27890,24216,7552
5248,-1312,-5369,22382,4044,9052
-12393,-1312,-17069,31817,24360,17896
-23982,-1328,10214,31817,4020,2428
-3537,-1296,-32599,27042,6840,4748
11697,-1328,20775,18946,16856,7444
6838,-1296,6108,15238,11404,14484
2410,-1312,-9765,12542,7008,12500
-5811,-1312,-10136,11534,2780,9640
-12303,-1344,-3775,13318,1012,6896
1
-32558,-1312,9868,22470,32467,-25124
-32558,-1344,-25642,31817,32467,-16752
-32558,-1344,-15461,31817,-2124,-12012
-22076,-1312,-32423,31817,32468,-3540
-13376,-1328,-17743,17322,32468,6528
-1555,-1296,18442,5022,-20008,2404
10291,-1328,15713,-4414,17612,884
-7022,-1328,-95,-13306,28648,17680
9268,-1312,-1173,-3118,15764,-11624
