-1909,-1600,-32598,-8866,11556,4448
7128,-1632,-19864,31817,-3808,1956
4490,-1632,898,31817,13668,7656
12009,-1600,2090,31817,32467,-9664
-2926,-1600,16780,5138,11660,3544
-16508,-1600,-8661,31817,7552,5052
-9419,-1632,-3388,31817,-7368,4408
-4209,-1632,10820,23090,3608,7732
-3497,-1632,-610,19762,17312,7744
-2017,-1632,2445,16410,17520,7964
-3837,-1632,14811,2882,11740,7916
-4355,-1632,9562,-15866,16776,3232
1584,-1600,6978,-26222,15840,2112
2411,-1632,1048,-31178,23588,3072
3466,-1632,2075,-27114,21300,488
3864,-1600,11733,-21090,21988,2028
539,-1600,-2735,-15934,25388,3468
-1063,-1600,-10147,-10310,16032,984
1899,-1600,1495,-4810,12972,776
-348,-1600,4129,-2690,17668,3520
-4162,-1648,-6224,694,19356,1672
-2355,-1616,-4650,2458,14896,564
-271,-1632,2481,1354,15500,2072
-989,-1600,-1879,426,16656,2648
-157,-1600,-4897,466,15648,1260
585,-1648,-1633,-286,15512,2076
399,-1584,-285,-882,17208,2612
369,-1584,-1987,-698,16932,2484
643,-1616,-1481,-22,16176,2136
733,-1616,359,-826,16080,2284
653,-1616,-584,-1614,15816,2264
-165,-1616,-1758,-1738,15428,2512
0
-1305,-1616,15107,32426,14232,4536
8315,-1616,10228,31818,20848,8720
6024,-1616,-1114,32194,27344,2400
115,-1648,-2666,-25158,24604,728
97,-1616,-1129,-15010,22336,1232
275,-1584,-5816,-9774,19584,2852
-468,-1616,-3990,-4502,14920,1992
-1501,-1616,834,-2198,13888,1740
-1086,-1616,1345,22,15924,2260
-2270,-1584,-5335,1134,17472,2788
-1638,-1616,-3417,1566,15280,1948
73,-1568,1844,1106,15976,1928
167,-1632,-1251,678,16652,2124
55,-1632,-674,934,15876,1828
-52,-1568,-1208,370,16260,2076
-557,-1600,-268,210,15224,2156
-1023,-1600,-882,-350,15864,2032
-1408,-1600,-917,-478,16380,3248
-1487,-1600,-326,-122,15636,2604
-1516,-1600,249,-310,14436,2236
-1467,-1600,70,-806,16532,2508
-2525,-1632,-1246,-1346,16236,2224
-2481,-1600,-928,-990,16060,2864
-2315,-1600,-2342,-518,16416,3108
-872,-1616,-1652,46,15944,2756
446,-1632,-103,-342,15888,2876
795,-1616,122,-406,16480,3060
504,-1616,-893,-98,16132,2808
782,-1616,-771,278,16056,2560
836,-1616,117,114,16436,2928
513,-1584,-699,34,16736,2864
98,-1584,-1620,-230,15744,2680
0
-968,-1600,-32598,7374,27052,6276
5521,-1600,-27697,31817,8736,6144
1100,-1568,3666,31817,15588,492
-928,-1600,-443,31817,15028,-1988
391,-1600,16336,25242,1848,2560
-10162,-1632,6862,30222,5328,4396
-7804,-1600,5615,31817,6708,4216
-5509,-1600,223,26922,17548,6672
-5123,-1600,2301,17958,17056,6344
-2072,-1600,13798,6354,12768,5572
-3581,-1600,4434,-16982,13936,6464
3593,-1552,15205,31818,9904,-2264
7526,-1568,19485,31818,28920,7024
751,-1616,-10500,-27170,28740,5224
764,-1616,-8004,-16318,17072,2852
3755,-1584,-3158,-8878,14032,2648
2686,-1584,6132,-3494,15300,4420
-1733,-1616,-4273,-2422,19368,3328
-2669,-1600,-7731,-542,15192,1288
-982,-1600,1606,1110,15688,2508
-1047,-1600,-988,434,17508,2768
-1353,-1600,-2847,-354,16220,2452
-1155,-1600,-3582,54,15896,2820
-846,-1600,-2850,-202,15192,2620
-221,-1600,-776,-514,15008,3004
-721,-1568,76,-854,16764,3560
-944,-1616,-1709,-522,17204,3424
-360,-1616,-3014,-698,16588,3564
214,-1584,-3495,-394,15768,3556
1252,-1584,-207,-110,15016,3336
1927,-1616,986,-454,15252,3300
1793,-1616,-307,-770,15864,3416
0
-11010,-1600,-29808,-1534,15500,-7008
-13373,-1600,-18499,29906,-7264,1372
-7227,-1600,-5314,15250,-10580,9464
4375,-1616,9405,16074,696,8380
10442,-1600,22761,17166,17368,5840
2031,-1584,16055,21386,27560,7704
-5322,-1568,13774,31817,32467,4124
-6907,-1616,13031,27294,23372,3536
-6729,-1600,3721,7050,9296,1396
-794,-1552,17846,-13994,-2216,-3608
-5207,-1584,3503,31818,-604,5404
2702,-1616,7826,31818,6520,3712
6355,-1616,9561,-31862,16028,2240
5096,-1584,11684,-20798,22240,3264
-2028,-1600,-7953,-14338,26260,6492
-4047,-1568,-5514,-6614,16852,2664
-1980,-1568,1909,-658,17000,2832
-3858,-1568,-7418,674,20368,2856
-4124,-1568,-9057,2486,17688,1068
-1724,-1600,-1584,2586,14400,352
1,-1584,-740,986,15848,1220
513,-1600,-2554,210,15764,616
902,-1568,-1570,-1238,15716,1460
708,-1584,-315,-1890,15452,2208
-35,-1616,-1966,-1894,15980,2172
-228,-1584,-3029,-2030,15688,2244
-281,-1584,-1753,-2150,15392,2232
-344,-1584,-498,-1966,15832,2928
-535,-1552,-2466,-1902,16868,2632
-390,-1552,-3922,-2074,16188,2596
0
1128,-1600,14613,31817,29348,-14864
-9001,-1568,-13672,-538,9104,-1160
-14638,-1568,-28003,31817,224,2980
-4151,-1568,1786,24578,-17960,8440
7906,-1600,24115,21142,2216,8612
6745,-1568,19505,18522,21180,8392
821,-1600,8348,22206,24736,6832
-1959,-1584,8519,17206,18720,4744
-2713,-1584,9690,5962,14304,2912
-2087,-1552,9658,-8718,12352,2784
1341,-1552,5162,-22334,13792,-468
1538,-1584,2708,-31702,16488,2324
3422,-1584,-1487,-26594,22472,1896
7824,-1616,5170,-21722,24008,2412
7252,-1600,5221,-18122,21004,3804
3006,-1600,-1810,-13226,18208,3716
707,-1568,195,-7786,15956,3084
-1735,-1600,-376,-3370,16196,3580
-3553,-1568,-4824,490,16576,2556
-3165,-1568,-3220,2262,15876,1792
-1884,-1584,-1769,2786,15952,2524
