3230,-3328,-1111,-3054,16028,-6308
2337,-3328,2169,-3186,15776,-5604
890,-3280,2274,-2978,14680,-5024
-1247,-3296,913,-2746,15492,-3488
-2779,-3280,-4095,-2430,14916,-3200
-2372,-3280,-8635,-1430,14320,-3844
-2077,-3264,-11637,-762,12860,-2856
-3067,-3280,-9317,-1002,12676,-2532
-3297,-3296,-5081,178,12700,-2076
-2639,-3312,-1717,666,14028,-2820
-3239,-3296,112,1406,14836,-1452
-2580,-3312,1698,1614,15468,-2756
600,-3328,-36,4286,15428,-4792
2258,-3344,799,3246,17072,-4476
1548,-3280,2555,3126,16924,-4208
403,-3296,5410,2910,17076,-4360
-310,-3280,4977,2918,16308,-4740
-356,-3296,2970,2754,15824,-4384
-705,-3312,280,2730,15804,-4180
-2389,-3328,-2644,2874,15508,-3324
-3164,-3296,-3626,3450,15704,-3660
-3180,-3312,-5084,3454,15580,-2952
-3141,-3296,-6733,3394,15072,-2536
-2472,-3312,-6836,3214,14104,-2204
-1687,-3264,-5481,3226,14892,-1388
-1814,-3312,-5682,3298,14368,-1068
-1159,-3280,-4921,4202,14568,-1764
-352,-3280,-3879,4186,15208,-1928
-252,-3280,-2563,4434,14844,-1744
-242,-3296,-1203,4690,14844,-1840
-747,-3280,-314,4562,15468,-1812
-1491,-3296,-1168,4442,15276,-1516
2
-1518,-3088,-11844,13662,5568,6168
-2948,-3088,-10077,13914,5528,5792
-4256,-3120,-7534,14802,5440,4464
-4065,-3104,-4758,15390,5468,3652
-2612,-3120,-3380,15742,5320,2356
-519,-3120,-3062,15666,5216,1512
1554,-3072,-2519,15574,4916,1452
2876,-3088,-957,15378,4508,1976
3097,-3088,1034,15142,4620,2536
2361,-3104,2608,14630,4744,3264
1535,-3088,3372,14690,5228,3952
1055,-3088,3691,15362,6436,4484
7404,-3136,1846,17002,6564,2864
15591,-3120,-2210,17058,11048,5876
18166,-3088,-2973,16626,10420,9476
20347,-3104,5200,17114,11952,11196
20633,-3120,10119,16206,16724,12768
20606,-3120,6582,14234,19816,12388
22211,-3104,2712,13026,19908,10540
22049,-3104,1403,9362,19320,12144
21122,-3120,689,5966,16176,11148
15869,-3104,-1346,2686,16372,12220
15315,-3104,-8109,3894,16544,8520
20522,-3088,-14550,2918,13780,5864
21978,-3088,-16322,-134,9288,8436
22629,-3104,-13653,-1662,6964,5824
24588,-3088,-11519,-3754,3112,4032
22083,-3088,-6124,-8030,364,4348
15974,-3104,-2172,-10206,896,4024
11204,-3120,-2620,-10934,292,3412
9894,-3088,-2443,-11414,828,4172
6412,-3104,840,-14202,1712,5460
2
-32558,-2928,-12765,18362,-4816,14100
-32558,-2928,-29644,31817,4472,24780
-32558,-2928,-22810,31226,-1472,20892
23171,-2896,-32599,-10886,15420,10372
15693,-2912,-3886,-1278,6796,21236
-4678,-2944,-30638,-10322,7192,11640
-11246,-2896,-10686,-16194,-21552,14496
7601,-2928,-32599,9454,1328,13396
-1689,-2928,-22489,-7126,12804,10232
1122,-2944,-20009,-7966,-2708,14652
-2157,-2896,8464,-7802,-5344,16780
2405,-2896,11330,-4182,7984,12164
7969,-2928,-5225,-2442,1848,13240
7405,-2896,2007,-3526,-936,14620
8477,-2928,15847,350,-248,15084
18273,-2944,11839,7502,5960,15644
31926,-2912,3479,10350,7356,12664
-32559,-2960,-2094,-3110,5188,10352
31887,-2928,8151,-4314,-2320,10460
26608,-2944,13962,-16978,1792,1592
29180,-2912,1163,-19366,696,-3592
19216,-2928,3229,-16254,-1960,1080
10410,-2960,-4209,-32566,-5676,-6148
11582,-2912,-1886,-25110,-4836,-3396
6745,-2912,-6913,-26150,-6968,-3476
-7979,-2944,-3966,-31170,-7540,-3668
-11978,-2928,3918,-24478,-4820,-1412
-8761,-2928,-6492,-19230,-4144,-800
-4621,-2896,-7782,-18794,-5108,1864
-4755,-2912,1762,-19250,44,3780
-1956,-2928,4235,-16978,1684,1804
284,-2928,-1126,-17130,1736,4452
2
-32558,-2912,-32598,31817,17760,-8524
-32558,-2928,-20653,26602,-3412,17520
-6645,-2928,24964,-1918,8888,29768
22332,-2944,12803,-2410,4716,2368
11177,-2912,-14843,-2946,6836,5120
-5965,-2912,-17009,-8870,-12596,14292
-14420,-2928,28735,-10190,-5696,17280
-4801,-2928,-471,-422,5176,21048
3798,-2896,-10819,-5274,-288,15892
1084,-2912,1725,-8230,-2352,21116
-2334,-2912,2335,-6270,1544,17188
5537,-2912,-2407,-5410,-940,16136
5537,-2928,971,-4650,-1228,18952
9235,-2896,7075,-2638,-2084,15628
16453,-2912,10490,26,-852,15220
22657,-2928,5276,4550,2288,16756
25122,-2896,6696,4586,1716,18152
32419,-2928,17257,8482,6376,11192
-32559,-2928,7147,666,3952,9280
26138,-2944,3704,-12450,-2908,9592
23670,-2912,9469,-17662,-2936,-1376
23898,-2896,-132,-9086,-7528,-44
26352,-2928,8759,-19710,-2280,-6756
22916,-2928,4641,-25422,-1476,-8168
13358,-2944,3468,-24658,-10240,-1108
10636,-2944,-4989,-30874,-9380,-6064
8956,-2928,6324,-25806,-14676,-6448
4935,-2960,5841,-23482,-10348,-5400
-5483,-2944,-2423,-22798,-5444,-648
-9050,-2944,-3463,-18814,-6392,-840
-6311,-2928,-860,-16594,-1928,832
-4947,-2928,157,-17026,136,1372
2
-32559,-2928,20193,3174,11580,-15856
24204,-2912,-15273,2750,10776,9980
-3427,-2912,-32598,-7010,-20628,14196
-8877,-2928,32632,-19054,-3404,14612
-3835,-2896,7594,-1718,9824,20364
4105,-2912,-23677,-9054,1760,13212
-207,-2944,-17026,-10118,-8248,15396
-111,-2896,12225,-7834,-3120,16756
-1504,-2928,1653,-9222,-468,16296
2443,-2960,-5531,-6122,-1128,14036
2266,-2912,-2311,-7990,-2796,16324
2415,-2944,4093,-3746,-1148,14644
7607,-2912,2903,-782,-1308,12700
9973,-2928,7288,2446,-136,14864
15851,-2928,7696,8658,4440,15276
24160,-2944,4094,11130,3520,11928
