-32559,-1360,-5074,2646,-1624,-25808
29510,-1392,2058,12774,11272,-25160
12475,-1360,-7787,-13810,17476,-29204
26077,-1408,-9652,-1670,12744,-29212
18504,-1392,7754,-11858,6728,-26368
8960,-1392,-7516,-12282,6092,-26352
10611,-1376,-9391,-7758,4928,-21712
5152,-1360,7363,-3410,5132,-21404
-5440,-1328,8010,-7730,7700,-19536
-9027,-1408,2680,-6538,9028,-15764
-10061,-1360,-2102,-6078,7788,-13000
-11535,-1360,408,-6574,7556,-10856
-9233,-1376,1045,-6718,7080,-10196
-4247,-1392,1754,-6106,5504,-10492
-3510,-1392,2217,-6422,5480,-10416
-3601,-1360,441,-6010,4928,-10848
-2909,-1424,-141,-6434,4304,-10420
-2573,-1376,-1169,-6442,3516,-11068
-483,-1344,-2996,-6702,4372,-10424
414,-1360,-4101,-6810,5168,-10284
419,-1408,2058,-5850,4104,-12320
1059,-1376,3792,-6582,6428,-11580
378,-1392,182,-6870,6304,-11516
-922,-1392,-2278,-7202,5924,-12156
-34,-1424,-637,-6722,6000,-12376
-57,-1360,1828,-7610,5828,-11848
-1036,-1392,2006,-7826,5924,-11476
-603,-1376,1523,-7994,5820,-11660
-1194,-1392,-357,-8118,6088,-11152
-1621,-1376,-1373,-7926,6008,-11060
3
-32559,-1344,-6359,9798,5700,3052
-32559,-1328,-13998,10910,-6424,-14760
-32559,-1360,2362,16494,4412,-32768
-32559,-1376,24878,11898,13388,-26676
14529,-1392,-5748,-746,548,-18640
11836,-1360,-32598,1378,10452,-29868
22543,-1344,-2713,-434,-7084,-26044
15461,-1392,7522,-9898,-9520,-28272
7458,-1376,-1014,-5954,-5720,-25360
1870,-1376,-1609,-6450,-1392,-22968
-2838,-1360,-6534,-6178,1712,-20892
-4610,-1376,-8993,-4130,2792,-18580
-3632,-1376,-5477,-3242,2432,-17360
-4539,-1392,-2345,-4030,1964,-15628
-3645,-1392,1627,-3854,1824,-13260
-4942,-1376,-532,-4390,2080,-12888
-5241,-1392,-757,-4986,1716,-12272
-4415,-1344,-588,-5218,1592,-13184
-2425,-1376,-1162,-5114,1392,-12912
-1667,-1360,-604,-5714,2184,-12884
-1841,-1360,191,-5702,2752,-13404
-803,-1376,-324,-5346,2956,-13516
744,-1392,-150,-5090,2744,-13072
941,-1392,-282,-4382,2856,-13648
2078,-1376,614,-4298,2936,-13252
2361,-1392,422,-5246,3776,-13220
1423,-1392,-573,-5238,3844,-13296
1215,-1376,-546,-5130,4316,-13752
981,-1360,199,-4610,3748,-13836
312,-1392,-544,-5078,3508,-14044
3
-32559,-1360,-32599,31817,-14904,-30644
-32559,-1376,-21181,11282,-1516,-30116
28075,-1376,10581,22066,-15204,-32768
8426,-1360,-19372,5542,-7992,-29188
-3216,-1376,-10871,-4922,-10916,-24844
-4999,-1376,-2718,-1778,-11540,-21780
-2470,-1392,190,-6034,-6300,-19324
6577,-1376,1295,-3894,-3424,-18920
5981,-1376,-1917,-1338,-148,-18948
-1346,-1392,680,-3118,3204,-18500
-4051,-1392,-5089,-226,1068,-16664
-6414,-1376,-7087,-178,1620,-16880
-6853,-1360,-5843,362,828,-15740
-6785,-1376,-856,-474,-1136,-14064
-4217,-1376,-255,-266,-1064,-15172
-2567,-1360,2036,-994,-264,-14028
-3228,-1376,1682,-1266,-348,-13324
-3362,-1360,-481,-1310,-176,-13720
-2190,-1392,-775,-1982,-484,-13420
-1417,-1376,233,-1766,-420,-13092
-635,-1360,-805,-2878,240,-12844
60,-1376,-2554,-2790,120,-13436
2305,-1376,-907,-2582,-228,-14232
2696,-1360,-642,-3078,236,-14484
-41,-1360,-1699,-2182,1304,-14772
-184,-1392,-2340,-1610,792,-15296
-236,-1376,-1114,-1294,520,-15360
-1127,-1392,-1056,-2082,780,-14512
-1485,-1344,-2374,-1770,552,-14500
-763,-1408,-2302,-1698,220,-14460
3
-32559,-1392,-32599,26834,-5212,15380
-32559,-1376,-32599,29594,-5244,5080
-32559,-1376,-32599,20758,496,3700
-32559,-1392,26308,30262,-5656,-28232
-32559,-1392,-32599,31817,-14932,-31688
-32559,-1360,-19338,13650,-8296,-25280
-2380,-1360,-15482,-2730,-5540,-19372
-706,-1392,-3045,-5202,-6584,-19212
5089,-1408,5202,-3602,-6960,-18496
9732,-1360,6829,-6346,-6012,-18136
7474,-1376,3765,-3506,-4296,-18804
3793,-1376,-704,-10,-1924,-19628
768,-1360,-1233,-802,-300,-18704
-2659,-1408,-1066,-614,-72,-17088
-4775,-1376,-3063,-1066,-204,-15708
-4530,-1360,-4526,-1474,-1392,-15148
-2425,-1376,-820,-1014,-2460,-14804
-1175,-1360,-57,-1006,-1632,-14620
-1569,-1360,-382,-1334,-1308,-13900
-1263,-1408,-2828,-354,-1344,-14544
1462,-1376,-2320,-170,-1908,-14148
