11076,-1712,-1749,31817,-6048,5528
24544,-1680,-497,31817,18980,480
20954,-1680,-19,31817,32467,-14304
3230,-1680,28101,6626,32467,-21552
-21201,-1728,-11208,19422,19648,6508
-11926,-1696,-3589,16410,156,11152
-3582,-1696,1796,114,3784,14148
-3984,-1696,-8417,-1366,13328,6768
-1011,-1728,-8019,13274,24088,2024
384,-1712,-1550,11370,26252,1172
4027,-1712,-6189,6766,21920,-848
9206,-1712,-3454,2138,11044,-488
8726,-1712,7169,-5706,11804,-1828
11351,-1728,3578,-11070,9752,-4080
20829,-1728,13869,-29122,5344,-4020
23423,-1728,6238,-30346,12724,-9140
22119,-1728,6429,-27422,14360,-12844
14516,-1712,2728,-29230,15820,-4160
3666,-1712,2128,-22950,16676,-2328
426,-1680,-1007,-13286,21868,-3088
-1704,-1712,-5292,-9338,20972,-308
-4587,-1728,-1806,-5490,16272,-608
-3910,-1728,1572,-3406,13436,-1052
-1512,-1696,489,-4466,11436,-312
981,-1744,158,-4686,10332,-524
-582,-1728,1599,-4850,13380,-1108
-2826,-1712,1265,-3890,15652,-3152
-1920,-1728,-3490,-4126,17068,-2748
-920,-1712,-4713,-3862,16160,-2180
-1509,-1680,1635,-4730,14676,-780
-4223,-1712,3723,-4266,16424,-996
-3984,-1680,-1822,-2758,17296,-1812
0
-27894,-1680,-19809,31818,32467,-6320
-32558,-1728,-32598,31818,24796,680
-19355,-1696,-4689,-31846,-112,-7704
7551,-1712,-2413,-21474,6240,5320
-32558,-1696,30,3822,-17212,-10016
15457,-1712,16453,31817,9908,7288
16905,-1712,-32598,31817,32467,16848
12564,-1680,13358,7802,32467,-32768
-22575,-1696,21252,16610,32467,9596
-21456,-1696,-24167,31817,5544,-932
-11870,-1696,-5598,25698,-36,9616
-3613,-1696,4709,10518,6396,7536
-1489,-1728,-2676,-3282,10720,9732
-332,-1680,-5916,-5650,4916,9412
3066,-1744,7894,-8946,1572,5888
11589,-1712,15486,-14550,6240,3464
14716,-1712,12068,-17718,13484,2604
15557,-1712,14502,-19454,11912,-1996
25456,-1728,22081,-21794,18536,-9776
30470,-1728,4622,-28450,28508,-8436
20923,-1728,-6794,-27626,19160,-6896
15775,-1728,2290,-22634,14628,-5332
10286,-1696,290,-19858,15844,-3292
923,-1728,-3998,-16754,14172,-528
-4230,-1712,-1260,-10566,13320,-1052
-2255,-1744,-2133,-6046,16260,-2492
-2345,-1680,-8476,-5498,16040,-1572
-5915,-1744,-6817,-4718,11992,-1664
-6285,-1696,-1589,-3910,13792,-2064
-5618,-1728,-2564,-3678,16620,-1472
-5579,-1696,-4028,-4206,13728,-680
-6890,-1696,-970,-3446,14156,-372
0
-5939,-1712,8351,25866,-14112,-2836
7638,-1712,-13492,31817,32460,848
8294,-1680,-13609,31817,32467,-7284
7359,-1744,4708,31817,31676,-14540
-3328,-1712,7235,21242,22080,-5144
-8504,-1712,519,22654,10568,1000
-2634,-1712,3000,22694,13800,5312
1888,-1712,311,15390,17904,7596
-1496,-1712,-1373,10218,11960,4048
1000,-1744,1553,4838,12544,4104
4190,-1696,-2742,-458,12984,3856
5369,-1728,56,-4030,11192,-520
4244,-1728,9183,-7754,15068,-772
5953,-1728,6925,-7210,19268,408
10607,-1728,5095,-12814,18076,408
13650,-1728,13142,-17786,20456,-4524
20380,-1696,6356,-23530,22272,-3976
16970,-1728,693,-28214,17724,-5804
6508,-1696,1852,-22622,18012,-4728
-2312,-1680,885,-12698,18816,-1956
-4278,-1744,1001,-4142,17700,1216
-4578,-1712,1598,2450,19264,640
-4092,-1712,-3243,5458,18408,1284
-2037,-1712,-4408,4602,15228,892
-2059,-1744,-443,2234,15748,568
-2153,-1728,-1916,1334,16116,-208
-1395,-1696,-5012,-2,15768,-396
-1177,-1728,-4169,-738,15820,-456
-2153,-1728,-1465,-750,16852,-36
-3067,-1696,-2398,362,17272,-128
-3454,-1760,-4212,890,16620,196
-3201,-1728,-3780,718,15184,412
0
-29689,-1728,-14661,31818,32467,-2332
-32558,-1728,-32598,31818,22128,5536
-13333,-1696,7048,-18806,-26356,-14284
-6423,-1728,-4306,31818,-25696,19812
-9366,-1728,-8559,31817,32468,-16840
-32559,-1728,-21739,31817,32467,10956
22772,-1696,-32207,31817,32467,-32768
-23657,-1728,-32599,-11898,13136,19648
-32558,-1744,-14059,31817,-15460,12848
-11751,-1744,-1627,13834,-18860,19428
-7428,-1744,14302,6226,3776,12080
-7071,-1712,-3460,8262,18020,988
-4211,-1712,-10236,12202,19680,2280
-5053,-1744,-5747,6386,18600,6020
-1977,-1776,-4129,3674,16264,6072
2785,-1712,7063,-3170,8444,3480
6454,-1728,11741,-9618,12964,3204
4932,-1728,5607,-12914,13064,3472
7138,-1696,7678,-13722,13272,2780
15773,-1728,20746,-14494,12132,1092
21738,-1728,21247,-14402,22904,-104
19145,-1760,-2740,-16086,29004,-1384
12730,-1728,-2307,-19334,17616,-1684
10272,-1696,13127,-18986,18912,-1096
9844,-1744,940,-15382,25876,-768
4765,-1728,-14148,-12402,19784,400
-1712,-1712,-7181,-7942,13644,568
-3685,-1728,1265,-4378,14904,524
-3103,-1744,-4854,-990,17896,680
-3868,-1744,-10230,474,16308,1240
-4759,-1712,-9287,1418,15748,656
-5171,-1744,-4423,1534,14624,544
0
15625,-1728,20672,31817,6000,-1080
11176,-1728,-3875,31817,16816,-12652
3851,-1728,-6192,31817,32467,-14536
-6170,-1696,471,31817,22516,-6244
-9397,-1728,-2604,31817,26856,-3040
-2712,-1760,-598,30878,24528,-784
-3228,-1728,4678,10894,22764,4684
3483,-1728,733,-158,22684,6324
9720,-1728,-3792,-10838,14044,3168
17025,-1728,8601,-23058,10800,-4720
14455,-1728,10204,31818,14640,-7152
8381,-1728,-41,31818,14872,-3820
8469,-1760,-4804,-30558,8060,-2680
10970,-1760,5684,-21994,13996,-1376
-7262,-1744,-1291,-1694,18628,932
-6519,-1712,-2452,-838,18740,1632
-7298,-1744,-2494,46,15772,1060
-6125,-1744,-4126,882,15604,552
-4780,-1744,-7540,-14,16116,1372
-3907,-1744,-4612,226,14392,984
-814,-1744,698,-418,13592,-240
1186,-1744,1251,-1562,16332,376
-134,-1728,-2982,-1574,17848,1128
-733,-1728,-4214,-1566,15368,16
1035,-1760,-1984,-1594,15280,-152
893,-1760,-272,-1898,15208,1336
-304,-1728,560,-1650,15852,844
-407,-1728,136,-1962,15756,868
-1893,-1728,-547,-2250,15900,1272
-2633,-1728,-1680,-2002,15460,1096
0
17030,-1760,6819,27206,32467,-5764
7853,-1744,11174,31817,32467,-6892
-469,-1744,-2812,15750,20916,-628
2357,-1728,2971,-24686,10912,3852
2789,-1760,1901,31818,12488,3244
-3188,-1760,2036,31818,8936,7564
-13678,-1728,1420,31818,940,6236
-9312,-1760,-825,-29706,-2360,-1544
-3517,-1760,4560,3878,-9288,600
20475,-1760,7657,31817,13788,12392
10734,-1744,-32219,31817,32467,1060
21522,-1744,32764,-4822,15624,-26968
-14859,-1776,-31545,6254,29248,2832
-11293,-1744,-13618,13482,-15064,17260
3692,-1712,10636,10146,-912,12312
13186,-1744,11719,13910,22020,176
179,-1744,2383,15550,25016,4076
-12280,-1744,2500,20542,19908,3676
-11409,-1744,-3554,22474,20196,2552
-3354,-1760,-11668,9738,13528,1340
322,-1760,4629,-2042,10964,1448
