-151,9,-188,505,579,133,454,-25,369,-423,377,520,399,174,148,-62,-322,-14,-300,162,352,38,-440,-246,195,-195,35,425,-291,-272,-326,446,16,21,228,99,-376,-295,527,371,-412,-164,-320,219,69,463,236,274
-529,-127,198,-436,32,457,-475,128,473,-447,521,243,579,79,-468,455,-334,-573,293,310,571,-298,-510,-140,-109,-32,467,-286,-548,518,-512,-89,-156,-92,-540,23,33,569,-206,357,59,-87,-449,-431,316,256,444,194
434,-533,-409,-578,-552,-425,-395,2,98,-218,427,-464,-119,415,-104,-161,482,110,413,19,442,110,413,510,157,550,-13,165,-239,-583,146,-270,-149,-598,-300,225,149,-584,-448,385,-94,267,560,-333,146,428,407,530
-190,-512,-276,-29,98,-263,-120,452,-26,441,-554,-71,-174,-11,452,95,230,17,411,254,-445,80,405,-176,-230,-100,-244,94,-249,-238,-421,-323,-66,563,114,-297,230,275,-373,163,-144,519,-427,-575,-573,-475,-262,91
-134,124,585,-536,202,-419,443,-49,-441,-364,339,42,-528,-401,416,277,-573,-507,-373,-244,578,334,388,-2,-288,-369,-355,46,-550,525,-238,366,376,540,220,-16,-252,359,437,-551,-291,-476,418,497,567,-170,-259,56
430,-304,-67,466,454,389,-290,-549,171,-142,-354,-221,-496,-204,-571,-260,-350,-590,115,-46,-438,94,192,-547,-9,-489,233,-130,-257,-446,-451,-94,-247,215,105,350,-101,-481,-218,97,493,-358,-107,57,160,-106,388,-359
-360,-445,-22,365,-492,-434,-293,-346,195,-229,-416,-305,-259,467,386,4,-337,334,480,310,517,536,-151,-520,506,-443,-192,192,24,-523,-300,-274,528,-472,356,-546,73,-86,-218,-150,244,515,-566,-188,-466,78,499,52
-524,-473,-402,156,-260,-503,391,-17,-70,318,145,378,401,373,292,-365,539,-211,-399,-299,-61,213,396,301,88,-592,-140,-207,-323,429,-59,-423,-195,-370,61,-329,-507,-458,-517,-144,43,361,-149,138,330,-110,-420,-331
-566,-36,-76,-439,-184,53,501,-49,477,505,1,-88,-499,82,-170,-441,571,377,-436,123,542,-283,160,-288,242,-547,357,438,-404,-104,134,-135,89,-201,96,-325,310,-230,-451,-250,232,267,-121,-587,178,-253,-494,-237
7,253,-128,394,-68,-280,208,43,-59,-129,251,-154,434,413,-255,60,-89,453,137,-81,-297,576,-364,-176,313,532,555,-260,423,-532,-409,90,-443,-361,53,104,306,-18,-484,-383,422,-484,571,143,-374,109,-124,-57
4,190,-573,-488,-536,601,-458,412,320,189,131,26,-445,428,39,-28,85,-54,499,-160,501,-64,129,-184,-131,325,444,-435,-236,-274,-332,-128,249,-311,-51,-195,-552,-74,-151,-479,486,508,-333,584,400,497,-189,-97
