197,193,534,239,52,4,-58,335,-68,-183,-386,-185,-341,-474,-467,140,-560,107,-227,-389,574,442,209,-21,322,155,-413,289,-492,-560,-606,-515,-398,-473,-428,158,158,31,-119,-587,182,131,246,257,153,550,-304,113
-199,-13,317,451,187,-483,-314,-103,-1,-548,-229,-45,419,-289,529,-282,166,272,-455,215,134,-598,-602,-141,-402,-498,378,380,-451,446,-511,401,-501,-241,109,-463,390,538,-559,235,367,283,-19,-573,-253,-174,-480,-478
-10,564,64,-440,546,-518,-17,-334,155,-465,-467,-400,324,-534,34,-244,-361,499,-137,201,-234,-153,-404,-541,-531,94,386,337,448,-527,90,52,32,-516,-370,-226,60,-129,318,-470,287,253,58,-169,-363,-477,-174,599
-482,-221,556,-18,-250,-95,-21,321,-182,337,-357,420,-192,200,-541,237,-418,104,-381,529,137,-167,-43,523,-18,36,70,476,245,-99,-3,-481,16,311,478,-100,-154,-63,17,130,-82,320,148,-326,-380,567,-302,220
611,-256,-424,425,611,-530,-276,514,395,-442,-47,545,495,-470,53,405,271,130,396,-457,-582,421,-363,76,-64,-333,160,41,360,128,-540,-253,-403,-577,9,27,-307,112,493,-363,433,-358,-466,-524,258,498,604,396
-294,452,414,-513,543,-313,-146,-196,-1,28,-214,-532,372,-478,144,-378,-586,11,-230,-392,-228,402,401,96,185,181,316,-142,-317,-83,-161,-186,-4,-424,-238,-242,316,182,-19,-494,393,-560,-512,135,216,417,344,455
-561,-167,-80,-479,274,455,455,-244,-182,262,348,-337,439,86,-407,-288,51,297,-278,-512,-343,120,-589,-50,-318,71,-15,472,230,-276,169,-38,368,-471,263,-395,453,433,526,320,523,-552,-184,174,387,197,-17,534
296,-41,290,-583,-22,292,24,87,358,134,146,-484,17,412,-162,89,-236,418,-348,230,516,234,-88,-166,-547,165,-523,-370,556,-202,308,324,24,-124,-7,167,437,-161,-442,66,-354,-106,344,-214,447,-589,-544,-336
-171,-586,175,-37,326,-203,174,-26,-249,-308,-536,-166,-506,-506,-310,463,-249,562,-440,84,384,165,-148,-373,-450,55,-230,566,-470,-281,-228,-41,-18,114,-321,-58,-255,-517,253,29,-292,96,88,112,-65,-200,-384,-467
-296,-526,272,-67,-185,458,-128,308,528,561,278,-413,236,-318,520,614,37,-240,-217,414,-399,22,527,18,-255,-234,-136,25,453,-152,-346,-575,-245,-613,314,199,-504,229,-147,-248,44,355,-55,-217,191,-35,-270,-541
-50,-546,-566,-588,105,-577,532,-519,-529,-290,374,403,-54,211,-125,120,-424,177,247,-614,-49,-421,-483,-141,-391,333,-520,236,-337,33,-97,-483,-272,525,374,-47,347,78,-536,-470,-113,-458,-326,-454,-331,412,-242,600
-132,452,0,-203,-76,324,-274,-113,-230,-28,15,370,-232,-389,0,199,508,-48,431,289,-414,302,321,-94,335,-257,372,452,378,349,-196,-45,425,-429,-417,-357,469,99,510,103,504,-1,33,397,131,-171,77,250
129,-525,-137,320,-323,487,64,135,-44,164,-487,592,-224,434,269,-177,-13,78,474,-59,553,124,-22,-83,-420,490,78,581,58,-30,253,-316,-242,-26,-400,168,262,-245,-462,563,-103,-546,-440,33,419,517,356,-50
-82,204,-101,519,-128,35,-315,567,-80,523,568,19,-598,255,-584,-274,-313,-418,438,328,-173,-487,254,561,213,-285,2,228,-17,37,393,210,-91,252,596,-34,-451,-486,472,296,212,204,541,563,352,435,75,354
-601,501,88,-107,-392,-560,455,316,339,115,-273,-23,-269,377,-281,-531,-521,-66,-504,498,-75,165,-423,1,208,-422,350,303,-284,-284,144,456,363,523,-395,-535,-552,434,202,50,518,-111,-243,394,184,116,573,-119
-266,105,-43,-21,230,-104,-30,-266,174,295,379,-528,330,389,-234,-311,-433,329,-557,-534,508,-407,397,378,-53,-265,495,-489,128,229,576,-427,-240,251,14,-318,372,208,146,532,56,462,238,171,-294,417,-126,-126
-463,-595,-394,227,331,369,457,-152,567,-172,59,-85,281,88,-327,303,417,201,-39,-542,-531,-407,535,8,64,167,281,232,-179,401,127,-319,180,-563,-22,257,2,-312,529,-182,-135,250,433,62,4,118,182,494
270,-322,-500,-243,55,404,-313,68,402,159,-546,-548,-188,288,206,-259,-317,143,435,-565,-486,-467,-268,72,453,-262,-339,101,-393,209,178,312,457,601,172,-505,-118,385,180,142,75,-606,342,106,-20,219,511,376
156,6,306,377,-31,-47,-282,-341,-346,-253,-613,-424,355,545,-338,-71,362,-377,348,270,-519,-340,-543,-418,-531,-174,-568,-530,-139,-87,-193,220,376,-335,321,-390,-455,468,-467,-599,482,525,20,85,298,292,-563,-232
439,132,151,516,399,-498,-499,245,550,565,-90,446,192,-277,-194,234,-39,252,-541,63,242,402,-340,521,-320,-1,479,396,42,-71,122,4,-45,-153,-511,242,577,424,-389,406,-539,294,602,-315,-607,383,-196,-292
-128,-219,-265,14,61,-209,-87,-414,-78,-231,-614,-437,-339,127,483,562,301,-204,-533,353,100,-244,-427,-66,560,-446,250,236,250,-129,-192,-196,248,83,-566,443,-275,42,316,462,537,469,-156,-532,84,358,276,249
-391,-82,334,-542,-250,262,285,-424,-334,-237,-238,332,-405,-570,328,-471,526,287,-258,-4,529,407,35,184,-508,-163,229,14,227,-444,-417,318,-2,-398,428,247,-264,46,98,-351,355,226,-437,427,409,349,-457,-283
396,120,-460,-464,-214,-597,-244,-62,524,-13,-333,-312,-520,-137,-326,81,61,-240,303,36,-71,-436,-308,426,-175,-62,-3,-569,568,-594,-485,467,-112,432,148,391,-383,-88,390,-401,-417,-400,-507,362,-394,62,-530,-113
282,-159,-233,222,569,-455,190,374,149,-496,-198,-270,-233,458,489,461,-555,-270,-276,-6,-103,395,-216,477,-152,315,-590,4,584,280,405,126,-512,341,309,-513,-63,512,191,-513,-560,-156,-5,-594,466,350,-537,-490
