31817, 31817, 31817, 6626, 19422, 16410, 114, -1366, 13274, 11370, 6766, 2138, -5706, -11070, -29122, -30346, -27422, -29230, -22950, -13286, -9338, -5490, -3406, -4466, -4686, -4850, -3890, -4126, -3862, -4730, -4266, -2758, -6048, 18980, 32467, 32467, 19648, 156, 3784, 13328, 24088, 26252, 21920, 11044, 11804, 9752, 5344, 12724, 14360, 15820, 16676, 21868, 20972, 16272, 13436, 11436, 10332, 13380, 15652, 17068, 16160, 14676, 16424, 17296, 5528, 480, -14304, -21552, 6508, 11152, 14148, 6768, 2024, 1172, -848, -488, -1828, -4080, -4020, -9140, -12844, -4160, -2328, -3088, -308, -608, -1052, -312, -524, -1108, -3152, -2748, -2180, -780, -996, -1812
31818, 31818, -31846, -21474, 3822, 31817, 31817, 7802, 16610, 31817, 25698, 10518, -3282, -5650, -8946, -14550, -17718, -19454, -21794, -28450, -27626, -22634, -19858, -16754, -10566, -6046, -5498, -4718, -3910, -3678, -4206, -3446, 32467, 24796, -112, 6240, -17212, 9908, 32467, 32467, 32467, 5544, -36, 6396, 10720, 4916, 1572, 6240, 13484, 11912, 18536, 28508, 19160, 14628, 15844, 14172, 13320, 16260, 16040, 11992, 13792, 16620, 13728, 14156, -6320, 680, -7704, 5320, -10016, 7288, 16848, -32768, 9596, -932, 9616, 7536, 9732, 9412, 5888, 3464, 2604, -1996, -9776, -8436, -6896, -5332, -3292, -528, -1052, -2492, -1572, -1664, -2064, -1472, -680, -372
25866, 31817, 31817, 31817, 21242, 22654, 22694, 15390, 10218, 4838, -458, -4030, -7754, -7210, -12814, -17786, -23530, -28214, -22622, -12698, -4142, 2450, 5458, 4602, 2234, 1334, -2, -738, -750, 362, 890, 718, -14112, 32460, 32467, 31676, 22080, 10568, 13800, 17904, 11960, 12544, 12984, 11192, 15068, 19268, 18076, 20456, 22272, 17724, 18012, 18816, 17700, 19264, 18408, 15228, 15748, 16116, 15768, 15820, 16852, 17272, 16620, 15184, -2836, 848, -7284, -14540, -5144, 1000, 5312, 7596, 4048, 4104, 3856, -520, -772, 408, 408, -4524, -3976, -5804, -4728, -1956, 1216, 640, 1284, 892, 568, -208, -396, -456, -36, -128, 196, 412
31818, 31818, -18806, 31818, 31817, 31817, 31817, -11898, 31817, 13834, 6226, 8262, 12202, 6386, 3674, -3170, -9618, -12914, -13722, -14494, -14402, -16086, -19334, -18986, -15382, -12402, -7942, -4378, -990, 474, 1418, 1534, 32467, 22128, -26356, -25696, 32468, 32467, 32467, 13136, -15460, -18860, 3776, 18020, 19680, 18600, 16264, 8444, 12964, 13064, 13272, 12132, 22904, 29004, 17616, 18912, 25876, 19784, 13644, 14904, 17896, 16308, 15748, 14624, -2332, 5536, -14284, 19812, -16840, 10956, -32768, 19648, 12848, 19428, 12080, 988, 2280, 6020, 6072, 3480, 3204, 3472, 2780, 1092, -104, -1384, -1684, -1096, -768, 400, 568, 524, 680, 1240, 656, 544
31817, 31817, 31817, 31817, 31817, 30878, 10894, -158, -10838, -23058, 31818, 31818, -30558, -21994, -1694, -838, 46, 882, -14, 226, -418, -1562, -1574, -1566, -1594, -1898, -1650, -1962, -2250, -2002, 6000, 16816, 32467, 22516, 26856, 24528, 22764, 22684, 14044, 10800, 14640, 14872, 8060, 13996, 18628, 18740, 15772, 15604, 16116, 14392, 13592, 16332, 17848, 15368, 15280, 15208, 15852, 15756, 15900, 15460, -1080, -12652, -14536, -6244, -3040, -784, 4684, 6324, 3168, -4720, -7152, -3820, -2680, -1376, 932, 1632, 1060, 552, 1372, 984, -240, 376, 1128, 16, -152, 1336, 844, 868, 1272, 1096, 0, 0, 0, 0, 0, 0
27206, 31817, 15750, -24686, 31818, 31818, 31818, -29706, 3878, 31817, 31817, -4822, 6254, 13482, 10146, 13910, 15550, 20542, 22474, 9738, -2042, -6790, -12106, -15178, -18066, -21118, -21030, -17666, -16450, -15070, 32467, 32467, 20916, 10912, 12488, 8936, 940, -2360, -9288, 13788, 32467, 15624, 29248, -15064, -912, 22020, 25016, 19908, 20196, 13528, 10964, 14720, 14196, 12300, 11404, 16304, 19660, 20192, 17560, 14896, -5764, -6892, -628, 3852, 3244, 7564, 6236, -1544, 600, 12392, 1060, -26968, 2832, 17260, 12312, 176, 4076, 3676, 2552, 1340, 1448, 5084, 3368, -1388, -3892, -1776, 1128, -1184, -3032, -1988, 0, 0, 0, 0, 0, 0
31818, 31818, -24898, -26058, 31358, 31817, 29202, 6138, 8130, 7390, -338, 2274, 4066, 9726, 12294, 12762, 11366, 5030, -806, -9322, -10954, -13374, -22138, -20126, -19838, -18166, -15294, -10590, -7102, -4050, -1006, -398, 29640, 24384, -5172, -9300, 8020, 32467, 32467, 11932, 13904, 9320, 10004, 16200, 19056, 22012, 20304, 18024, 14040, 14724, 13812, 12996, 11040, 13660, 14932, 21484, 20672, 15516, 14788, 17300, 16180, 13340, 14832, 15908, 22344, 10192, -9268, 6896, 356, 4544, -12572, -2408, 5392, 4916, 6388, 5452, 2816, 2428, 4520, 4284, 1812, 692, 2164, 1436, -2008, -3848, -3164, -2808, -1616, -640, 732, 1984, 2252, 1588, 180, 376
9478, 31817, 31817, 31817, 11162, -3030, 4386, 2922, 2426, 3222, 5774, 11782, 14242, 13154, 8694, 1962, -3518, -8026, -14930, -19190, -22718, -24862, -23538, -20190, -14530, -7682, -3614, -986, 198, 958, 22, -1066, 5248, 29628, 32467, 27724, 26632, 17044, 7896, 8264, 14852, 11984, 15596, 16960, 18336, 18988, 18460, 14140, 14984, 18476, 14364, 14068, 19620, 25520, 20956, 17720, 16096, 14372, 13832, 17296, 18368, 16772, 14616, 15560, 5368, 1504, -1100, -8784, -10200, -460, 4628, 7996, 5128, 2288, 2760, 1236, -684, -1168, -736, 3036, 888, -1424, -2324, -4240, -4432, -4, 1916, 2500, 2632, -332, -2180, -664, -348, -336, -120, 800
18754, 31817, 31817, 31817, -11734, 21294, 2598, -734, 2798, 4234, 5354, 8306, 10782, 16322, 19526, 23362, 17754, 10602, 6166, -346, -6758, -7390, -13254, -19278, -15030, -15238, -14874, -8966, -1750, 2662, 2618, 3790, -3368, -27652, 9480, 32467, 25756, -14112, -4132, 17480, 17812, 13316, 11256, 13152, 15320, 12612, 16668, 16364, 12184, 17152, 15660, 17040, 18036, 19480, 19816, 21816, 26900, 22220, 18200, 15200, 17204, 18124, 14388, 16128, 4036, 2976, 10456, -16968, -4900, 13352, 16664, 4664, -972, 2440, 2484, -1104, -352, -1172, -1584, -1672, 2280, 2004, 96, 2844, 416, -5184, -9944, -6140, -8028, -6700, -364, 2188, -200, -584, 364, -292
31817, 31817, 16786, -802, 7342, 7918, 8642, 7946, 9394, 7978, 8934, 11458, 12302, 13946, 17574, 16294, 12066, 9102, 4170, -838, -1562, -13294, -26998, -22342, -27874, -16742, -5838, 822, 3726, 5238, 4982, 2218, -648, 32467, 10680, 20956, -92, 11224, 18716, 14180, 12588, 17072, 18508, 13412, 16352, 19596, 16744, 14808, 16036, 15836, 13340, 13536, 24348, 13000, 19568, 24940, 14200, 18308, 16728, 16024, 18612, 17976, 15040, 15996, -2616, -476, -20848, 3504, 10396, 7776, 1296, 4712, 2892, 1408, 2756, 3516, 2220, 228, 1128, 344, 192, -832, -476, -816, -4652, -704, -4780, -344, 6092, 4552, 2412, 2080, 1300, -168, 196, 2856
