8239, 5562, 6964, -10458, -11347, -3954, 257, 2109, 3573, 937, 1472, 1225, 753, 708, -85, 367, 506, 640, 43, -39, -323, 105, 171, 474, 3, -436, -1140, -1004, -531, -76, -546, -1141, -950, -644, -661, -624, -701, -749, -653, -2112, -2112, -2144, -2128, -2128, -2128, -2144, -2144, -2144, -2128, -2128, -2128, -2144, -2112, -2144, -2144, -2128, -2128, -2128, -2112, -2144, -2176, -2128, -2128, -2144, -2144, -2144, -2128, -2128, -2128, -2144, -2112, -2128, -2128, -2144, -2112, -2144, -2128, -2128, -18173, 6551, -13018, 21286, 6765, -3385, 1131, 5176, -2342, -3126, 2955, -3910, 467, -727, 32, -1128, 40, -1476, -1419, 324, -79, -1038, -9, -573, 310, 745, -1503, -1332, 828, -567, -394, -124, -259, -664, 127, -527, -1128, -250, -597, 15166, 31817, 31770, 31817, 31817, 2562, -24042, -12262, -658, 5742, 4418, 3254, 2518, 2042, 1434, 1586, 1770, 2414, 2194, 2038, 1998, 2274, 2334, 1898, 2042, 1958, 1574, 1814, 1974, 1562, 1354, 1338, 1118, 830, 962, 870, 1318, 978, 1230, 11232, 14340, 8028, 1620, 14920, 9848, 24116, 23872, 20184, 14788, 14468, 14824, 15624, 16040, 16532, 15604, 16352, 15940, 15964, 15724, 16276, 15864, 15208, 15728, 16052, 16932, 17272, 15976, 15788, 15576, 15556, 16140, 15888, 16052, 16056, 16180, 16472, 15824, 16036, 9068, 20768, 8536, 10768, 8512, -3288, 2500, 2572, 2488, 2680, 2312, 2248, 2688, 1980, 2972, 2872, 2964, 2564, 2688, 2736, 2788, 2900, 2872, 2604, 2668, 2808, 2724, 2948, 2908, 2268, 2204, 2536, 2692, 2648, 2616, 2548, 2576, 2660, 2516, 0, 0, 0, 0, 0, 0
-10284, 11437, 17490, 5158, 1037, 6727, -482, -3372, 1409, 828, -2328, -9350, -7317, 3675, 4593, 7874, 866, -5418, -2495, 1399, 1449, -2717, -3136, -6770, -3338, -1465, -1301, -1065, -2298, 170, 348, 889, 701, 1259, 1643, 1437, 700, 931, -2160, -2176, -2144, -2144, -2160, -2160, -2160, -2144, -2144, -2144, -2144, -2160, -2144, -2176, -2176, -2192, -2144, -2160, -2160, -2112, -2176, -2144, -2144, -2176, -2192, -2160, -2160, -2176, -2144, -2176, -2144, -2144, -2144, -2160, -2160, -2176, -2176, -2176, -2081, 8607, -32598, 30945, -32598, 23713, -2158, -3990, 62, 455, 5, 13617, -2314, -6980, 1217, 8016, 5356, -2148, -7905, 904, -856, 3478, -3112, -491, -4459, 2548, -3412, 1532, -2031, -2626, -2553, 324, -1157, -995, 600, -589, -513, -905, 31818, -16642, 31817, 31817, 17706, 6082, 6650, 4154, 4454, 8038, 15942, 19522, 17818, -10006, -30230, -21590, -16934, -4670, -642, 2486, 4534, 6506, 6082, 4430, 4598, 762, 2478, 1078, 266, 1758, 1694, 1894, 1342, 1086, 666, 814, 210, 590, 16468, 11672, 18000, 15360, -2948, 10556, 15128, 13636, 15432, 18652, 14420, 12072, 8344, 6332, 16664, 31080, 23268, 19572, 13052, 17656, 14108, 18752, 14900, 16320, 14836, 15152, 15320, 16344, 17000, 16984, 15652, 15516, 15172, 15388, 15980, 16956, 16248, 15888, 1732, 5932, 12860, -19432, 10784, 4780, 3188, 4708, 5324, 6028, 7028, 10788, 8792, -2532, -2264, -768, 808, 3116, 860, 2184, -480, 3204, 1456, 3628, 4016, 3984, 3300, 3344, 2560, 3556, 3576, 3588, 3648, 3508, 3392, 3408, 3368, 3416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9262, -623, 4647, 4370, 8108, 5887, -11736, -2998, 2816, 9225, 8349, 12324, -15189, -6625, 3103, -11638, -14569, -15852, -5379, 1910, 3842, 1830, 3553, 615, 2252, 2778, -894, 1294, -2208, -2224, -2176, -2176, -2176, -2192, -2160, -2160, -2192, -2192, -2176, -2176, -2208, -2208, -2208, -2160, -2192, -2224, -2224, -2176, -2208, -2208, -2176, -2208, -2208, -2160, -2192, -2192, -32598, 22402, 17519, 5782, -157, 5812, -7441, -6830, 6227, 4232, -27460, -32599, -32598, 2672, 18457, 3564, 4520, 6282, -2092, -3633, 10531, -10561, -8254, -3248, 154, 2497, -3397, 958, 31817, 18634, 8078, -2470, -18966, -16030, -5554, 15950, -4570, 31818, 31817, 31817, 20982, 17182, 13190, 23706, 21066, 2634, -15398, -31702, -19470, -11686, -7002, 1926, 3634, 3042, 2326, 1922, 21904, 6096, 22272, 21008, 16824, 16172, 11788, 16224, 17224, 14224, 16456, 32467, -13880, -5172, 14232, 20116, 23504, 24888, 13520, 11688, 22728, 25584, 19812, 18732, 14772, 16620, 16812, 15608, 24452, 6712, 1564, 1900, -1020, -4444, 5392, 10888, 3376, -984, 11652, 2556, 11356, 15792, 5624, 1572, 116, -264, 4664, 1720, 4988, -264, 668, 1720, 1644, 2032, 1652, 1552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8939, 3571, 21498, -11394, -6717, 235, 3002, -4704, -6067, -3586, 697, 5603, 3289, -28, 771, -3806, 2655, -1608, -1438, -1375, -2726, -2627, -2092, -1788, -1559, -1590, -101, -987, -768, 1568, -77, 592, 678, 186, -112, 1107, 366, -608, -2176, -2176, -2176, -2176, -2176, -2192, -2192, -2176, -2192, -2192, -2160, -2176, -2208, -2176, -2144, -2208, -2176, -2176, -2160, -2192, -2160, -2192, -2176, -2176, -2176, -2176, -2208, -2160, -2160, -2192, -2176, -2176, -2176, -2208, -2176, -2176, -2176, -2160, -566, 8316, 27406, -32598, -6007, -1291, 3130, 9721, 5526, 6638, -7049, 6117, 2577, 834, -2000, 229, 1219, -1351, -7751, 1086, -2678, -796, -253, -1165, -340, -1400, -1529, -1193, -2996, 879, -1023, -1389, 919, -852, -1453, 348, 256, 143, -2530, 30154, 31817, 15834, 9294, 10210, 15274, 12646, 16646, 13466, 546, -15746, -13434, -6582, -766, 2794, 3938, 2990, 3066, 3362, 2590, 2526, 2682, 3706, 3022, 2666, 2354, 1210, 4174, 2486, 2158, 2354, 2642, 1802, 2406, 1514, 1070, 1114, 14184, 13860, 32467, 5456, -3924, 8476, 14368, 15448, 21764, 26784, 18112, 11712, 19456, 16376, 17988, 18796, 15348, 17892, 13840, 14532, 15860, 15628, 15872, 15920, 15156, 16352, 15260, 15272, 13948, 15536, 16664, 15948, 16888, 16464, 15176, 15376, 15744, 15972, 2568, 18812, -12400, 5872, 9728, 7580, 5948, 6744, 4040, 2372, -180, 1492, 1940, 3160, 4784, 3464, 1696, 1916, 2640, 3620, 3516, 3616, 3608, 3512, 3704, 3936, 4128, 4988, 4236, 4504, 4172, 4336, 4416, 4496, 4516, 4144, 3876, 4200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-21373, -5143, 4128, 6056, 3720, 1754, 13, -1552, -1164, 2505, -4905, 3478, -1370, 2832, 1191, -3732, -1699, 1167, -6798, -12345, -12410, 4973, 8090, 3915, 556, -1570, -2384, 729, 727, 104, -1802, -4063, -4229, -3258, -3487, -3525, -2919, -887, -2176, -2160, -2192, -2160, -2144, -2176, -2176, -2144, -2176, -2176, -2208, -2176, -2208, -2160, -2192, -2160, -2160, -2224, -2144, -2144, -2176, -2176, -2192, -2160, -2192, -2160, -2160, -2160, -2176, -2176, -2176, -2176, -2176, -2144, -2144, -2176, -2176, -2176, -18296, 6390, -4012, -1767, 112, -3791, -590, -2454, 4700, 4163, -1094, -9569, -10751, 6275, -3205, 103, -370, 4205, 8345, 9925, -3908, 4610, 1491, 4705, -698, -1315, -2615, 393, -685, -3483, -858, -3388, -3878, -900, -3257, -1495, -2838, -2491, 4634, -1926, -774, -402, 254, 430, -3286, -1766, -6058, 31818, 31818, 23002, 15234, 6426, 6506, 6786, 7278, 15066, 16222, 24262, 12014, -19534, -12094, -5774, 610, 1842, 3446, 2482, 578, 290, 202, 198, 1138, 458, 2270, 2798, 2718, 2842, 1872, 24364, 20988, 16500, 19096, 14808, 11604, 17396, 20380, 22160, 17524, 12408, -3088, 10748, 12328, 13212, 12004, 13672, 15500, 21552, 15024, 25592, 19620, 20480, 18464, 15920, 15152, 14988, 15356, 15428, 17548, 18300, 16584, 15428, 14800, 15036, 15288, 16292, 7948, 8756, 5480, 2400, 2304, 188, 1304, 2056, 316, -7712, -2076, 11060, 8852, 6696, 4940, 6220, 7236, 5360, 6504, 4828, 3304, 2648, 68, 804, 720, 2304, 2592, 2076, 1632, 1276, 1836, 2356, 2640, 3280, 3208, 3932, 3748, 3968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14442, -6371, -10873, -13718, -9943, -2594, -2685, 8794, 7487, 862, -1036, -1674, -249, 1766, 2809, 5021, 2183, -6232, -9068, -9155, -3909, 939, 3689, 1753, -896, 805, -826, -209, 1081, 487, -58, -363, -1109, -349, 8, 1847, 2906, 2765, -2176, -2192, -2192, -2176, -2144, -2144, -2144, -2176, -2160, -2176, -2144, -2144, -2176, -2176, -2208, -2176, -2144, -2192, -2192, -2144, -2144, -2208, -2176, -2176, -2176, -2192, -2192, -2160, -2192, -2160, -2192, -2176, -2144, -2208, -2144, -2144, -2160, -2160, 14614, 6626, -7419, 8216, 4920, -7553, -48, -2254, 8808, 6509, -5269, 1014, 3194, -1706, -16485, -1859, 1911, 2969, 825, 5425, -3445, 1217, 9520, 2104, -7686, -3683, -3211, -4469, 4371, -5135, -2279, -558, -2373, -1216, -1173, -1360, -1888, -323, 31817, 24690, 18246, 22158, 23102, -318, -23006, -1346, -578, -3570, -15606, 31818, -26334, 358, 20806, 31817, 17558, 12846, 17134, 14442, -662, -15890, -19938, -14186, -4010, 3322, 2682, 3598, 2758, 1390, 2502, 906, 1742, 1322, 1554, 2378, 2530, 2002, 21808, 20244, 6652, 13936, 18668, 8048, 10892, 17492, 17072, 18676, 16324, 12728, 14876, 14324, 23748, 17644, 17160, 8280, 17208, 21044, 16408, 8416, 14520, 21936, 18612, 17668, 17096, 14788, 17948, 15028, 14612, 15804, 15664, 16136, 16112, 16200, 15728, 15912, 13872, 6524, 8964, 7988, 6776, 3888, 2264, 1736, 2200, 1020, -1856, -3440, -2176, 4028, 9292, 11608, 6752, 6160, 5468, 4968, 3560, 1160, 572, 904, 2192, 3608, 3572, 2784, 3436, 2564, 2512, 3144, 2832, 3508, 3924, 3892, 3596, 3788, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11125, -15636, 13803, -2079, -5864, -4652, 3328, -3967, -4647, -4875, -570, -249, 5985, 3828, -1842, 2438, 9711, 5681, 1674, -8242, -11627, -12898, -8418, -6881, 519, 2755, 1653, 443, -853, 699, 3018, 1456, 815, -786, -1383, 244, 527, 2647, -2144, -2160, -2144, -2144, -2144, -2176, -2160, -2160, -2160, -2160, -2144, -2144, -2144, -2144, -2176, -2176, -2160, -2160, -2176, -2144, -2176, -2160, -2160, -2128, -2144, -2176, -2176, -2160, -2192, -2160, -2144, -2144, -2176, -2144, -2160, -2128, -2096, -2144, -8842, -3867, -6545, 21697, -13981, -19996, 11586, 8950, 8191, 12447, 1383, -4098, 7330, -4692, -10003, 2454, 5880, -2469, 10117, -2568, -941, 310, -907, -4425, 8478, -2023, -5939, -1218, -8966, -5272, 7019, -38, -1530, -2146, -5042, 1484, -1100, -695, -32182, 31818, 11558, 31817, 31817, 23122, 13130, 14886, 22522, 9658, -3534, -12182, -13814, -12902, -16234, -15238, 26010, 29386, 15526, 14170, 22702, 26618, 6142, -9862, -16458, -13854, -9778, -2810, 1058, 1586, 2926, 2478, 1958, 1118, 1038, 1442, 1454, 1430, 11688, 9280, 12036, 30824, 4456, 3404, 4560, 18140, 17804, 18952, 15072, 13904, 16436, 18152, 9072, 9196, 24636, 18696, 15288, 10804, 11308, 16060, 11476, 13244, 15508, 16628, 15556, 14432, 19868, 15012, 17104, 17312, 14596, 16656, 14940, 15816, 16324, 14884, -11160, -1596, 3456, 26088, 14764, 4140, 7352, 5624, 4696, 2380, 1784, -1248, -468, -1420, -288, 576, 12740, 6000, 3160, 7384, 7884, 7784, 5852, 1924, 3336, 2144, 1916, 2424, 3332, 4096, 4472, 3384, 3240, 3152, 2508, 3228, 3552, 3524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6475, 6724, 1973, -3891, -9205, -7365, -9961, -7408, -7648, -3435, 1843, 1600, 3241, -1448, 4875, 1545, 9226, 13682, 9771, -5408, -5656, -12336, -12158, -11416, -3732, 1912, 479, 1994, 1579, 3848, 622, 1465, 3268, 3756, 1767, -365, -1480, -1683, -2349, -2176, -2176, -2144, -2144, -2144, -2176, -2176, -2128, -2128, -2160, -2160, -2176, -2144, -2144, -2176, -2128, -2160, -2160, -2176, -2144, -2176, -2176, -2128, -2128, -2160, -2160, -2144, -2144, -2176, -2176, -2144, -2144, -2176, -2112, -2128, -2128, -2160, -2128, -2176, -2533, 2989, -3753, 2804, 2131, 5003, 4537, -7890, 473, -2444, 6129, -6762, 3647, -457, -2186, 6166, -16464, -3948, -4749, -5012, 7107, 14468, 4454, 518, -8735, 2012, -8875, 757, -6102, 4438, 1272, -4064, 1698, -688, -487, -928, -2910, -87, -1564, 23946, 31817, 20058, 11198, 14282, 17606, 17566, 7370, -11650, -17218, -13906, -7030, -6874, -15054, -20882, -17618, 5986, 22686, 29746, 14594, 19078, 24142, 16082, -4370, -17738, -16682, -2182, -86, 2746, 1810, 1586, 2874, 2146, -150, -302, 58, 1138, 826, 1258, 17888, 20660, 19488, 8424, 10028, 13832, 19240, 15436, 12892, 13584, 19288, 18724, 13560, 15776, 9940, 17908, 10148, 15336, 20544, 7876, 10804, 22032, 19664, 11520, 9844, 11648, 16688, 17168, 18160, 15024, 17276, 14960, 15512, 15428, 15400, 17696, 16696, 15404, 15608, 12900, 10500, 2744, 6564, 6604, 5976, 5692, 1744, 1312, 1228, 3468, 2520, 2388, 1776, -860, 3392, 2180, 12792, 6668, 8320, 7188, 6868, 3848, 2496, 4420, 2984, 984, 2900, 2852, 2896, 3956, 4692, 4708, 3516, 2532, 2304, 2640, 3116, 3160, 0, 0, 0, 0, 0, 0
6407, 3905, -11290, -750, 4498, -7505, -12578, -5719, -4118, -1221, -458, 2201, 12004, 6045, -1831, -5016, -1691, -3757, -11043, -17921, -11125, -4321, 3107, 1071, 2059, 2850, 1342, 4435, 2068, 564, -468, 125, 2121, 2728, 2477, 2586, 2140, -2128, -2160, -2128, -2144, -2144, -2144, -2144, -2128, -2128, -2112, -2144, -2144, -2160, -2144, -2176, -2176, -2144, -2192, -2160, -2160, -2128, -2144, -2144, -2144, -2144, -2160, -2176, -2160, -2160, -2144, -2176, -2160, -2128, -2160, -2160, -2144, -2144, 22351, -26659, -10577, 3215, 9652, 10198, 7247, -2659, 6798, -2855, 2748, -10114, 2822, 4573, -8261, -7401, 365, 2831, 3654, 12974, -795, -7545, 2845, 12133, -7577, -829, -6845, -3400, 7273, -2997, -1553, -4303, -1831, 268, -513, 1544, 24, 31817, 12786, 8538, 10818, 17098, 22414, 19006, -1362, -18670, -10002, -17414, -26122, 31817, 25106, 11934, 11226, 10754, 16026, 21266, 25026, 6698, -15854, -18550, -14854, -6998, -326, 3170, 4326, 2870, 3250, 2534, 2086, 1954, 2138, 2062, 978, 922, 21892, 24112, 588, 3484, 14968, 21132, 22876, 11992, 12756, 16452, 15204, 13588, 15716, 30268, 16464, 8492, 10884, 13748, 15136, 22160, 15016, 7000, 7940, 21676, 19316, 18600, 19432, 14992, 17292, 15716, 15124, 14344, 14308, 15712, 15988, 15808, 16824, 14724, -924, 9252, 8312, 6232, 6520, 3196, 392, -788, 3780, 2880, -432, 11424, 2856, 4140, 6128, 6380, 5284, 5984, 5544, 2236, 3124, -356, 3064, 1544, 2824, 2448, 2224, 2704, 1680, 2664, 2440, 2608, 2404, 2876, 3280, 3208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12709, 9563, 802, 2227, -4874, -6602, -13504, -7135, -1559, 1583, 2623, 1754, 1778, 1277, -966, 2596, 735, 10270, 12193, -1839, -3286, 404, 583, -11026, -5994, -1840, 1820, -24, 1073, 2884, 129, -521, -2219, -2068, -391, -187, 633, -2128, -2176, -2160, -2160, -2160, -2144, -2144, -2176, -2144, -2144, -2176, -2128, -2112, -2160, -2128, -2144, -2144, -2144, -2112, -2144, -2160, -2160, -2128, -2176, -2144, -2144, -2144, -2144, -2160, -2128, -2176, -2176, -2144, -2160, -2160, -2128, -2144, -3239, -12086, 3477, -17236, 3757, 8456, 9367, 6812, -5718, 3481, 832, -3619, 1467, -225, -6147, -3114, -1531, -8895, 4980, 5461, -21012, 7608, 5601, 3523, -12857, 10877, -105, -1351, -5485, -2493, -2274, 5, -2925, -3038, -1180, -2465, -1635, 10442, 31817, 25070, 14814, 15282, 23122, 23890, 13810, -11290, -19550, -19062, -10658, -4170, -7698, -17742, -22718, -19886, 10766, 31817, 17594, 11414, 13046, 13646, 8010, -20182, -19182, -13826, -5170, 78, 722, 2370, 2158, 2158, 1366, 1218, 1254, 1894, 15496, 13916, 23536, 2132, 6776, 15420, 16692, 18264, 11524, 11032, 18720, 17508, 17520, 18528, 15212, 10640, 9508, 14764, 13072, 32467, 4200, 10076, 12764, 15440, 7836, 14252, 22136, 18780, 18196, 14440, 16512, 15880, 16004, 13768, 16004, 15632, 15644, 11020, 6340, 8392, 4624, 7596, 7236, 7060, 1980, 940, -20, 2112, 1812, 1224, -152, 224, -1364, 3556, 5460, 11328, -1900, 6684, 5708, 4792, 1904, 616, 4448, 1348, 2628, 2228, 936, 1048, 1688, 1472, 1916, 2432, 2332, 2688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
