-32226,-1152,-21197,31817,-5852,3540
-4444,-1152,-9389,31817,-14952,20248
-3677,-1168,-994,29902,-12524,27356
-130,-1152,2380,14694,-7612,19608
10841,-1168,17474,9146,9080,16524
19670,-1120,-13096,4126,23352,-3480
14238,-1152,-6375,-2326,21148,13984
6152,-1152,12563,-8958,20712,11716
-713,-1168,5124,-8562,18520,10532
-2881,-1136,264,-5234,15212,8876
348,-1152,12212,-7094,14320,11056
2892,-1136,17503,-7934,17824,10956
3660,-1120,6675,-6574,21440,13180
-3726,-1168,-14686,-5622,17464,15288
-9021,-1168,-10677,-3950,12660,15196
-7158,-1152,-7054,-2046,13896,13312
-2401,-1168,-1325,-1798,13484,14104
-1302,-1184,1013,-350,11484,15192
1011,-1136,1721,150,10680,12756
3307,-1168,-2092,498,12732,13092
2008,-1184,-6391,946,12008,15472
3024,-1168,-4802,282,11240,12020
7487,-1152,1040,206,15136,12416
7089,-1168,2315,-362,18484,15176
2938,-1152,9107,-2526,16896,16544
58,-1168,10819,-3750,26568,12796
3408,-1152,-4847,-3522,19404,8736
6575,-1152,-7373,-3830,10540,9600
3398,-1168,394,-1858,9912,14696
-1639,-1184,-4200,-710,6608,13820
-1136,-1168,2815,-890,5752,11532
204,-1152,6277,-1518,8860,9964
-72,-1184,5195,-1166,7160,10028
-5291,-1168,14322,-1826,7188,12112
-13244,-1184,18836,-2894,11728,14464
-15403,-1136,10173,-3698,12140,9716
-12479,-1152,3450,-3326,9144,10760
-13014,-1152,13238,-3318,7876,14544
-10909,-1168,23026,-4310,10728,12444
-7038,-1152,18102,-3922,12476,11408
1
-32558,-1216,-32598,31817,31692,-13948
-24266,-1200,-32598,31817,-4452,-14128
-17556,-1216,-22456,31817,-5852,-14540
-13969,-1216,-5567,28978,3332,-2472
-8829,-1200,-24157,31817,-13648,1024
1335,-1248,5688,16486,-6576,7332
3777,-1184,7817,13690,-7652,9304
8618,-1248,13060,12514,1704,9044
11591,-1216,14339,10782,13892,11212
12402,-1200,12720,9786,18632,11920
12076,-1216,11187,7726,17524,14264
5355,-1200,14521,3594,21644,8372
8180,-1200,10286,1442,22620,8168
4987,-1216,6656,-4642,17824,12124
5678,-1216,23467,-9074,23764,17864
-4440,-1248,2606,-4218,30856,17920
-5710,-1248,14569,-8178,18580,13584
1570,-1232,15435,-7986,31084,11300
3288,-1184,1738,-682,20252,18400
950,-1264,-3128,4174,13772,16524
71,-1216,-2845,6606,13540,15188
2464,-1200,-11644,8050,12508,15424
4582,-1200,-10652,7322,10436,20236
8634,-1216,-3074,4122,10340,18868
14562,-1200,-5604,2518,14872,19604
18012,-1248,-13559,1494,9796,18304
20310,-1232,-11696,-130,6560,16488
20969,-1216,-14402,-1810,5720,16080
21044,-1216,-17174,-2950,4312,14816
